trial,accuracy
1,0.2917788461953432
1,0.2447933836685466
1,0.29398917308071865
1,0.3896040810201446
1,0.27964724303637434
1,0.10985923928849053
1,0.2249194951682984
1,0.4542562189593848
1,0.13838296001073747
1,0.2059659422818298
1,0.25421311628340354
1,0.2701150164657087
1,0.32482957308007254
1,0.317879832382723
1,0.14932070249118953
1,0.30422024373314177
1,0.3454858109607936
1,0.29830325909813005
1,0.2994360740239732
1,0.16212171808000175
2,0.17787697489891607
2,0.16238399935268982
2,0.2154671064977175
2,0.09459233530198824
2,0.18286188723436117
2,0.12838257895860827
2,0.27767118783377537
2,0.3388107167321698
2,0.2620869516338499
2,0.2453005905598851
2,0.2297840111083956
2,0.2752459478708785
2,0.4273504138892185
2,0.3286788520116529
2,0.4378877176564713
2,0.24581666461039983
2,0.11760552502421957
2,0.1275074348809559
2,0.29666088460794854
2,0.03171843031998425
3,0.040246898584883395
3,0.088738180486271
3,0.035380991457096125
3,0.10686805957169876
3,0.11421743251396982
3,0.12273217882656993
3,0.02166536416374322
3,0.018683083876777126
3,0.15082159720756264
3,0.010364727882203613
3,0.004039004432251768
3,0.28954473101721656
4,0.2627971996412074
4,0.11744789697573224
4,0.13033432985440135
4,0.019112698495702553
4,0.06280322220018833
4,0.06343498976755256
4,0.144903477613347
4,0.03411763791259724
4,0.11898747260692027
4,0.09797424908862777
4,0.03549721570948337
4,0.032091036101380976
4,0.042123100105085715
4,0.15535329013358212
4,0.11471378713938044
5,0.76592701288674
5,0.6755920738677029
5,0.8226457567560278
5,0.8505953808861901
5,0.7371615111040054
5,0.7227257632813818
5,0.6772332315469344
5,0.6810068824083811
5,0.7908052814627543
5,0.7885770060487447
5,0.6264878704619254
5,0.7548675720472614
5,0.46998166726933843
5,0.8057498816305044
5,0.718706398283108
5,0.6248996556626457
5,0.7288229270735724
5,0.7240729295584859
5,0.6902881443997602
5,0.551947291623322
6,0.546623924055263
6,0.6439139380766411
6,0.3799199024576946
6,0.6244441852135476
6,0.7464983545636082
6,0.5562592357342001
6,0.39132542081090216
6,0.5072748308151656
6,0.6877573419951695
6,0.7143953824003354
6,0.5300506450513335
6,0.5273226203427289
6,0.5501450524320078
6,0.6830151001543004
6,0.5149773924029909
6,0.5895221547197194
6,0.680443944025552
6,0.6254108626950902
6,0.590770809525708
6,0.6530792689898584
7,0.3264078675643237
7,0.010827477132840449
7,0.02947726474630097
7,0.3093767277381128
7,0.0960413825086797
7,0.004442412773329338
7,0.28131157954772046
7,0.06615820404483205
7,0.23915554085993843
7,0.25710019749697666
7,0.09167008695986406
7,0.1611384773839055
7,0.15630431745259787
7,0.10354325504871367
7,0.03219755066189878
7,0.038832278654022445
7,0.226051876678121
7,0.17569228838650675
8,0.6929980298137999
8,0.992107300454339
8,0.5964807897363524
8,0.5876541578279827
8,0.6270003352968113
8,0.8141981362936054
8,0.6139307067461327
8,0.7474538784358734
8,0.5703751460442142
8,0.8066184706450777
8,0.7915242488722315
8,0.7996507663315896
8,0.48113257108487084
8,0.9053502443602308
8,0.8857241175590549
8,0.765771330101234
8,0.6211124471955334
8,0.7359268893106549
8,0.5855952332181934
8,0.7308456924259024
9,0.38095421564380394
9,0.03830111975800499
9,0.4828153101902011
9,0.39628237166608576
9,0.45335207223765517
9,0.37909123864985506
9,0.3226169799609826
9,0.27325575061775786
9,0.10087431270507116
9,0.35232174140239975
9,0.22444133795656201
9,0.29050282600614896
9,0.4676957138951838
9,0.42448886442572703
9,0.45544855506659754
9,0.6735617850020643
9,0.28342624528700233
9,0.35156098647308065
9,0.4411657818155266
9,0.3666074718391791
